NEIGHBORHOOD,count,avg_price,median_price,avg_gross_sqft,avg_land_sqft,avg_units
BERGEN BEACH,77,663580.4155844155,680000.0,2148.8571428571427,3217.714285714286,1.6363636363636365
GLEN OAKS,42,662627.3571428572,610000.0,90736.16666666667,104989.69047619047,45.73809523809524
CITY ISLAND,41,655449.2195121951,500000.0,2338.560975609756,10953.024390243903,1.2439024390243902
NEW DORP-HEIGHTS,70,644500.7571428572,576500.0,1984.8142857142857,4792.171428571429,1.3857142857142857
HUGUENOT,88,639254.9772727273,630500.0,2418.9204545454545,6102.409090909091,1.3977272727272727
HILLCREST,38,633118.6842105263,643000.0,1573.578947368421,2984.0263157894738,1.1842105263157894
MARINE PARK,214,630467.5747663551,639000.0,1536.03738317757,2241.46261682243,1.3317757009345794
OZONE PARK,341,629250.1700879765,509300.0,1784.533724340176,2531.360703812317,1.7653958944281525
DONGAN HILLS,56,626549.0178571428,632000.0,1802.4464285714287,4558.035714285715,1.5357142857142858
ROSSVILLE-RICHMOND VALLEY,7,618482.8571428572,650000.0,2409.0,10473.0,1.5714285714285714
BROWNSVILLE,143,616646.6643356644,460000.0,2820.125874125874,2439.9300699300697,2.6503496503496504
ANNADALE,110,614168.0454545454,584500.0,2110.0545454545454,4876.718181818182,1.3363636363636364
WILLOWBROOK,118,607012.6016949152,600000.0,1761.9237288135594,4153.838983050848,1.38135593220339
GRANT CITY,68,606443.8676470588,535000.0,1534.0294117647059,4331.764705882353,1.2647058823529411
ROSSVILLE,100,603868.33,516250.0,2507.84,4703.15,1.33
FLATBUSH-EAST,486,603378.0823045267,508500.0,2254.2654320987654,2477.0246913580245,2.0205761316872426
NEW SPRINGVILLE,194,601498.1701030928,565850.5,11545.639175257733,30273.96907216495,2.670103092783505
OLD MILL BASIN,158,600511.2278481013,499500.0,1864.860759493671,2465.76582278481,1.4050632911392404
PELHAM GARDENS,56,599759.3928571428,515000.0,2256.6428571428573,3875.464285714286,1.5
FLORAL PARK,109,598836.2752293578,600000.0,2423.8073394495414,6075.275229357798,2.4311926605504586
HAMMELS,41,596899.3170731707,429000.0,2190.243902439024,3024.6341463414633,1.9268292682926829
RICHMOND HILL,461,593282.4924078091,529000.0,2250.360086767896,2797.3253796095446,1.770065075921909
WOODHAVEN,287,592396.6271777004,559000.0,1933.993031358885,2470.3728222996515,1.8118466898954704
GRASMERE,54,582222.574074074,570000.0,1566.5740740740741,4380.2962962962965,1.3333333333333333
HOWARD BEACH,213,577597.9061032864,615000.0,1897.150234741784,3875.1220657276995,1.3380281690140845
BELLEROSE,154,575824.7142857143,563500.0,1512.7012987012988,3670.6493506493507,1.2337662337662338
